City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,punta arenas,-53.15,-70.9167,286.21,67,0,6.17,CL,1706499043
171,dalhart,36.0595,-102.5133,280.16,45,0,2.06,US,1706499732
172,chui,-33.6971,-53.4616,293.55,85,75,2.27,UY,1706499755
173,mil'kovo,55.6078,37.7956,269.23,98,99,2.56,RU,1706499755
174,greymouth,-42.4667,171.2,294.03,59,0,4.01,NZ,1706499755
175,kolonia town,6.964,158.206,304.21,74,75,5.14,FM,1706499755
176,kapuskasing,49.4169,-82.4331,269.2,100,100,1.54,CA,1706499721
177,uturoa,-16.7333,-151.4333,301.61,78,86,3.76,PF,1706499755
178,vila franca do campo,37.7167,-25.4333,286.38,75,100,2.76,PT,1706499755
179,st. john's,47.5649,-52.7093,272.58,82,100,4.12,CA,1706499738
180,severo-yeniseyskiy,60.3725,93.0408,248.02,91,39,1.71,RU,1706499756
181,caleta de carquin,-11.0925,-77.6267,297.28,79,100,2.83,PE,1706499694
182,chifeng,42.2683,118.9636,262.97,49,1,2.3,CN,1706499756
183,tarawa,1.419,172.984,303.2,74,100,2.57,KI,1706499756
184,kalkaman,51.9525,76.0211,253.67,98,81,2.97,KZ,1706499756
185,nemuro,43.3236,145.575,273.24,77,80,4.24,JP,1706499641
186,nova vicosa,-17.8919,-39.3719,297.39,88,100,3.57,BR,1706499717
187,niafunke,15.9322,-3.9906,290.72,19,39,4.98,ML,1706499756
188,rio brilhante,-21.8019,-54.5464,293.62,49,0,0.13,BR,1706499757
189,twin falls,42.3505,-114.6445,275.33,93,0,1.54,US,1706499757
190,nyrob,60.733,56.7202,260.09,97,100,2.11,RU,1706499757
191,santiago de cao,-7.9589,-79.2392,298.22,83,75,3.6,PE,1706499757
192,pontalina,-17.525,-49.4472,293.53,82,6,2.2,BR,1706499757
193,pindushi,62.9152,34.58,274.24,91,100,5.97,RU,1706499757
194,talakan,50.3167,130.3667,259.57,85,100,2.72,RU,1706499757
195,namibe,-15.1961,12.1522,295.69,78,22,3.83,AO,1706499110
196,hamilton,39.1834,-84.5333,277.27,88,100,8.23,US,1706499584
197,saipan,15.1355,145.701,302.54,54,40,7.72,MP,1706499629
198,arraial do cabo,-22.9661,-42.0278,296.35,93,99,3.06,BR,1706499758
199,cabedelo,-6.9811,-34.8339,298.52,77,75,3.83,BR,1706499758
200,siguiri,11.6667,-9.5,293.37,20,50,1.8,GN,1706499758
201,kievka,50.2619,71.5514,248.43,100,100,0.68,KZ,1706499758
202,nadi,-17.8,177.4167,303.15,70,40,6.17,FJ,1706499588
203,suffolk,40.8668,-72.7996,276.29,95,100,7.2,US,1706499759
204,neiafu,-18.65,-173.9833,302.53,70,20,3.6,TO,1706499759
205,faro,37.0194,-7.9322,287.57,88,40,3.09,PT,1706499759
206,enewetak,11.3474,162.3373,299.29,68,99,6.78,MH,1706499759
207,flying fish cove,-10.4217,105.6791,302.97,74,75,5.66,CX,1706499623
208,georgetown,5.4112,100.3354,305.9,60,20,6.17,MY,1706499545
209,vorgashor,67.5833,63.95,260.19,96,100,4.68,RU,1706499759
210,el colomo,19.05,-104.25,296.55,80,100,1.33,MX,1706499759
211,san patricio,28.017,-97.5169,287.07,56,12,2.91,US,1706499759
212,mount pleasant,32.7941,-79.8626,284.26,67,0,6.17,US,1706499678
213,san juan de miraflores,-12.1629,-76.9635,299.91,66,84,2.97,PE,1706499760
214,hadibu,12.65,54.0333,298.13,74,89,2.97,YE,1706499760
215,kudymkar,59.0173,54.656,256.81,99,88,2.25,RU,1706499760
216,somanda,-3.3667,33.95,290.97,86,73,2.22,TZ,1706499760
217,odda,60.0691,6.5457,280.8,99,100,3.42,NO,1706499760
218,atafu village,-8.5421,-172.5159,302.79,71,54,3.22,TK,1706499143
219,tubarjal,30.4999,38.216,280.53,64,6,1.09,SA,1706499760
220,darab,28.7519,54.5444,282.44,41,95,0.7,IR,1706499760
221,nguigmi,14.2495,13.1092,289.54,31,0,5.67,NE,1706499209
222,queenstown,-31.8976,26.8753,292.91,65,45,1.44,ZA,1706499264
223,westport,41.1415,-73.3579,276.24,86,100,7.2,US,1706499702
224,papao,-17.75,-149.55,302.97,77,76,1.73,PF,1706499761
225,virginia,37.5481,-77.4467,280.55,94,100,2.06,US,1706499682
226,quellon,-43.1167,-73.6167,282.99,86,0,2.22,CL,1706499703
227,kratie,12.4881,106.0188,305.52,36,27,4.62,KH,1706499761
228,meiganga,6.5167,14.3,290.16,32,20,2.35,CM,1706499761
229,mugia,43.1041,-9.2179,289.77,72,90,9.89,ES,1706499761
230,puerto baquerizo moreno,-0.9,-89.6,298.31,89,94,4.05,EC,1706499762
231,kamennomostskiy,44.2983,40.1856,273.32,88,96,1.33,RU,1706499762
232,canutama,-6.5339,-64.3831,295.87,99,100,1.08,BR,1706499762
233,ketchikan,55.3422,-131.6461,285.14,93,100,6.17,US,1706499762
234,codrington,-38.2667,141.9667,294.8,62,0,6.63,AU,1706499762
235,miguelopolis,-20.1794,-48.0319,297.05,66,66,2.36,BR,1706499719
236,luganville,-15.5333,167.1667,300.73,77,100,2.96,VU,1706499762
237,malango,-2.9627,119.9001,303.19,50,90,1.41,ID,1706499762
238,champasak,14.75,106.0,299.64,40,20,0.95,LA,1706499762
239,san antonio de pale,-1.4014,5.6325,300.84,76,56,2.7,GQ,1706499762
240,fort mcmurray,56.7268,-111.381,278.88,70,0,3.09,CA,1706499763
241,guerrero negro,27.9769,-114.0611,292.03,50,90,3.82,MX,1706499763
242,tolanaro,-25.0319,46.9987,296.19,88,75,3.09,MG,1706499763
243,ellensburg,46.9965,-120.5479,277.84,95,100,0.0,US,1706499763
244,sena madureira,-9.0656,-68.6569,296.12,97,99,0.95,BR,1706499763
245,al mindak,20.1588,41.2834,285.93,88,100,1.36,SA,1706499763
246,thompson,55.7435,-97.8558,262.24,92,100,1.54,CA,1706499763
247,ta`u,-14.2336,-169.5144,302.3,74,60,5.01,AS,1706499764
248,brindisi,40.5833,17.6667,282.35,66,5,3.27,IT,1706499764
249,murzuq,25.9155,13.9184,282.91,69,0,4.55,LY,1706499764
250,mineros,-17.1167,-63.2333,298.37,79,100,2.18,BO,1706499764
251,east london,-33.0153,27.9116,291.67,94,0,2.57,ZA,1706499466
252,isafjordur,66.0755,-23.124,268.77,92,97,2.3,IS,1706499764
253,felipe carrillo puerto,19.5833,-88.05,293.71,86,73,2.2,MX,1706499764
254,constantia,44.1833,28.65,273.54,83,99,8.7,RO,1706499237
255,choibalsan,48.0667,114.5,251.88,79,100,4.75,MN,1706499765
256,nyandoma,61.669,40.1991,269.47,96,100,4.61,RU,1706499765
257,ushtobe,45.2514,77.9838,263.81,89,100,2.72,KZ,1706499765
258,petropavlovsk-kamchatsky,53.0452,158.6483,267.48,82,0,4.0,RU,1706499199
259,lata,40.1629,-8.3327,282.08,74,100,1.98,PT,1706499765
260,athens,37.9795,23.7162,279.36,86,75,2.68,GR,1706499765
261,crane,31.3974,-102.3501,284.98,40,37,4.37,US,1706499765
262,port hedland,-20.3167,118.5667,304.18,62,45,8.75,AU,1706499765
263,tangalle,6.024,80.7911,300.24,84,99,2.04,LK,1706499766
264,natal,-5.795,-35.2094,299.27,83,40,2.06,BR,1706499766
265,la ronge,55.1001,-105.2842,276.29,75,40,4.63,CA,1706499694
266,ghanzi,-21.5667,21.7833,294.47,67,31,3.82,BW,1706499766
267,bage,-31.3314,-54.1069,292.03,94,0,2.57,BR,1706499766
268,taltal,-25.4,-70.4833,293.02,85,10,1.07,CL,1706499241
269,hasaki,35.7333,140.8333,283.37,45,3,5.67,JP,1706499721
270,saint-philippe,-21.3585,55.7679,296.92,86,56,2.73,RE,1706499190
271,chenzhou,25.8,113.0333,282.56,88,95,0.91,CN,1706499767
272,wajir,1.7471,40.0573,298.13,73,0,3.6,KE,1706499767
273,conde,-7.2597,-34.9075,297.85,100,75,2.57,BR,1706499767
274,lander,42.833,-108.7307,281.48,71,0,2.01,US,1706499767
275,la ligua,-32.4524,-71.2311,291.36,83,3,1.32,CL,1706499767
276,vila do maio,15.1333,-23.2167,294.59,68,4,6.13,CV,1706499767
277,luwero,0.8492,32.4731,291.8,72,94,0.71,UG,1706499767
278,kavaratti,10.5669,72.642,300.61,69,29,4.13,IN,1706499224
279,galle,6.0367,80.217,299.66,81,75,0.97,LK,1706499767
280,taguatinga,-12.3857,-46.5711,294.37,97,88,0.58,BR,1706499768
281,mao,39.8885,4.2658,286.46,82,75,3.09,ES,1706499768
282,chhor,25.5167,69.7667,292.64,79,100,1.08,PK,1706499569
283,iskateley,67.6803,53.1512,264.83,95,91,5.81,RU,1706499768
284,juneau,58.3019,-134.4197,279.15,95,100,8.75,US,1706499757
285,carbonear,47.7332,-53.2148,272.83,80,76,4.16,CA,1706499768
286,sao borja,-28.6606,-56.0044,294.79,80,0,2.47,BR,1706499768
287,inawashiro,37.5667,140.1167,279.68,70,34,3.02,JP,1706499768
288,cockburn town,21.4612,-71.1419,298.49,71,0,5.76,TC,1706499768
289,kutum,14.2,24.6667,284.21,37,62,2.85,SD,1706499769
290,mlawa,53.1128,20.3841,273.08,90,96,3.55,PL,1706499769
291,ust-nera,64.5667,143.2,236.33,99,83,2.67,RU,1706499769
292,arawa,-6.2132,155.5367,301.97,79,100,1.7,PG,1706499769
293,mildura,-34.2,142.15,308.75,25,0,2.72,AU,1706499769
294,nanakuli,21.3906,-158.1547,299.12,78,75,8.23,US,1706499769
295,mejit,10.2753,170.8646,298.92,74,88,6.58,MH,1706499769
296,rionero in vulture,40.9257,15.67,276.33,81,55,1.56,IT,1706499769
297,saynshand,44.8824,110.1163,254.16,86,24,1.56,MN,1706499769
298,rostov,57.1914,39.4139,263.42,97,100,3.49,RU,1706499770
299,lyantor,61.6195,72.1555,247.49,100,90,1.13,RU,1706499770
300,revda,56.801,59.9303,257.92,97,84,2.52,RU,1706499770
301,prieska,-29.6641,22.7474,299.89,37,60,2.44,ZA,1706499770
302,nishinoomote,30.7333,131.0,286.46,50,20,3.6,JP,1706499770
303,vershino-darasunskiy,52.35,115.5167,250.42,72,93,0.93,RU,1706499770
304,kailua-kona,19.6406,-155.9956,300.13,82,100,7.2,US,1706499544
305,tadine,-21.55,167.8833,300.69,61,95,4.45,NC,1706499770
306,americus,32.0724,-84.2327,282.92,71,100,7.2,US,1706499511
307,port moresby,-9.4431,147.1797,306.83,49,75,7.72,PG,1706499715
308,tsiombe,-25.3,45.4833,297.5,75,11,6.15,MG,1706499235
309,tongchuan,35.0806,109.0897,276.74,41,2,2.39,CN,1706499771
310,hastings,50.8552,0.5729,283.78,51,100,5.52,GB,1706499771
311,sal rei,16.1833,-22.9167,295.7,74,15,6.54,CV,1706499771
312,lompoc,34.6391,-120.4579,290.14,73,0,0.0,US,1706499771
313,yuzhno-kurilsk,44.0306,145.8556,273.36,93,83,6.35,RU,1706499771
314,gulf breeze,30.3571,-87.1639,282.56,79,0,4.12,US,1706499771
315,al markaz,25.4,49.7333,285.48,74,93,3.19,SA,1706499771
316,mbandaka,0.0487,18.2603,295.4,52,100,0.8,CD,1706499772
317,rongelap,11.1635,166.8941,299.12,73,100,6.29,MH,1706499772
318,palu,-0.8917,119.8707,302.14,80,97,1.66,ID,1706499772
319,yongbyon,39.8133,125.8042,269.72,73,6,0.66,KP,1706499772
320,serhiyivka,46.0272,30.3768,274.04,85,100,8.52,UA,1706499772
321,minas de marcona,-15.2119,-75.1103,292.5,77,8,3.95,PE,1706499772
322,forster,-32.1667,152.5167,301.64,75,82,7.22,AU,1706499772
323,vilyuchinsk,52.9306,158.4028,268.3,85,98,1.03,RU,1706499247
324,saint-joseph,-21.3667,55.6167,296.36,88,39,3.76,RE,1706499773
325,ciudad madero,22.2667,-97.8333,292.62,63,0,0.0,MX,1706499773
326,valencia,39.3333,-0.8333,283.21,91,100,0.7,ES,1706499773
327,am timan,11.0297,20.2827,292.52,20,4,2.78,TD,1706499773
328,college,64.8569,-147.8028,246.93,66,100,0.0,US,1706499773
329,lakhtar,22.85,71.7833,294.45,57,50,2.99,IN,1706499773
330,gorshechnoye,51.5244,38.0365,272.28,96,100,2.56,RU,1706499774
331,fuxin,42.0156,121.6589,266.54,32,8,3.11,CN,1706499774
332,noormarkku,61.5927,21.8685,277.03,56,100,6.69,FI,1706499774
333,paredon,16.0333,-93.8667,296.81,64,8,10.49,MX,1706499774
334,kuzovatovo,53.5468,47.6866,267.88,98,100,1.03,RU,1706499774
335,ascension,30.2169,-90.9001,280.93,90,0,0.0,US,1706499774
336,ningchegu,39.1589,117.6625,271.16,62,88,6.28,CN,1706499775
337,yambio,4.5721,28.3955,294.12,30,100,1.45,SS,1706499775
338,aral,40.5156,81.2636,271.39,36,89,1.24,CN,1706499775
339,redencao,-4.2258,-38.7306,297.2,96,98,0.65,BR,1706499775
340,palikir - national government center,6.9248,158.1611,303.62,74,75,5.14,FM,1706499775
341,rizokarpaso,35.6,34.375,284.59,57,95,6.12,CY,1706499775
342,harstad,68.799,16.5293,280.46,92,100,28.16,NO,1706499775
343,male,4.1748,73.5089,302.12,74,20,6.69,MV,1706499776
344,shingu,33.7333,135.9833,284.32,49,0,2.42,JP,1706499193
345,evesham,52.0924,-1.9489,284.6,98,100,3.05,GB,1706499776
346,ocos,14.5094,-92.1933,298.25,77,0,1.95,GT,1706499776
347,sitka,57.0531,-135.33,285.09,58,100,10.29,US,1706499776
348,maun,-19.9833,23.4167,297.13,100,40,1.03,BW,1706499485
349,sechura,-5.5569,-80.8222,298.23,77,34,4.65,PE,1706499258
350,badger,64.8,-147.5333,246.88,69,100,0.0,US,1706499238
351,paysandu,-32.3214,-58.0756,295.3,61,14,3.05,UY,1706499776
352,motygino,58.1831,94.7592,252.47,81,24,4.02,RU,1706499777
353,stupava,48.2747,17.0317,273.95,85,0,3.6,SK,1706499777
354,sinmak,38.4167,126.2333,273.81,54,6,1.77,KP,1706499777
355,new plymouth,-39.0667,174.0833,294.41,61,10,6.73,NZ,1706499713
356,acapulco de juarez,16.8634,-99.8901,300.05,69,40,2.06,MX,1706499734
357,kavieng,-2.5744,150.7967,300.05,80,100,6.18,PG,1706499777
358,toliara,-23.35,43.6667,298.81,74,4,2.04,MG,1706499777
359,al hufuf,25.3646,49.5653,285.34,87,94,1.54,SA,1706499777
360,varva,50.495,32.7197,269.59,91,99,2.78,UA,1706499778
361,palmer,42.1584,-72.3287,274.9,86,100,5.66,US,1706499778
362,tamandare,-8.7597,-35.1047,298.95,83,52,2.21,BR,1706499736
363,san juan,-31.5375,-68.5364,301.33,39,99,3.95,AR,1706499638
364,vadso,70.0744,29.7487,275.64,87,75,9.26,NO,1706499644
365,gisborne,-38.6533,178.0042,291.18,90,100,7.69,NZ,1706499778
